date,type,cage_num,width_mm,length_mm,area_mm^2,note
8/10/24,Test,2,2,2,4,
8/10/24,Test,2,3,3,9,
8/10/24,Test,2,4,4,16,
8/11/24,Test,2,3,3,9,
8/11/24,Test,2,4,4,16,
8/11/24,Test,2,5,5,25,
8/12/24,Test,2,5,5,25,
8/12/24,Test,2,6,6,36,
8/12/24,Test,2,7,7,49,
8/13/24,Test,2,6,6,36,
8/13/24,Test,2,6,6,36,
8/16/24,Test,2,7,7,49,
8/16/24,Test,2,7,7,49,
8/17/24,Test,2,7,7,49,
8/17/24,Test,2,7,7,49,
8/19/24,Test,2,8,8,64,
8/19/24,Test,2,8,8,64,
8/21/24,Test,2,8,8,64,
8/21/24,Test,2,8,8,64,
8/23/24,Test,2,8,8,64,
8/23/24,Test,2,8,8,64,
8/24/24,Test,2,8,8,64,
8/24/24,Test,2,8,8,64,
8/26/24,Test,2,9,9,81,
8/26/24,Test,2,9,9,81,
8/28/24,Test,2,9,9,81,
8/28/24,Test,2,9,9,81,
8/30/24,Test,2,8,8,64,
8/30/24,Test,2,8,8,64,
8/31/24,Test,2,8,8,64,
8/31/24,Test,2,8,8,64,
9/3/24,Test,2,8,8,64,
9/3/24,Test,2,7,7,49,
8/10/24,Test,4,2,2,4,
8/10/24,Test,4,3,3,9,
8/10/24,Test,4,4,4,16,
8/11/24,Test,4,3,3,9,
8/11/24,Test,4,4,4,16,
8/11/24,Test,4,5,5,25,
8/12/24,Test,4,5,5,25,
8/12/24,Test,4,6,6,36,
8/12/24,Test,4,7,7,49,
8/13/24,Test,4,6,6,36,
8/13/24,Test,4,6,6,36,
8/13/24,Test,4,7,7,49,
8/16/24,Test,4,7,7,49,
8/16/24,Test,4,7,7,49,
8/16/24,Test,4,7,7,49,
8/17/24,Test,4,8,8,64,
8/17/24,Test,4,8,8,64,
8/17/24,Test,4,8,8,64,
8/19/24,Test,4,8,8,64,
8/19/24,Test,4,8,8,64,
8/19/24,Test,4,8,8,64,
8/21/24,Test,4,8,8,64,
8/21/24,Test,4,8,8,64,
8/23/24,Test,4,9,9,81,
8/23/24,Test,4,9,9,81,
8/23/24,Test,4,9,9,81,
8/24/24,Test,4,9,9,81,
8/24/24,Test,4,8,8,64,
8/26/24,Test,4,8,8,64,
8/26/24,Test,4,8,8,64,
8/28/24,Test,4,8,8,64,
8/28/24,Test,4,8,8,64,
8/30/24,Test,4,7,7,49,
8/30/24,Test,4,7,7,49,
8/31/24,Test,4,8,8,64,
8/31/24,Test,4,8,8,64,
9/3/24,Test,4,7,7,49,
9/3/24,Test,4,7,7,49,
8/10/24,Control,5,2,2,4,
8/10/24,Control,5,3,3,9,
8/10/24,Control,5,4,4,16,
8/11/24,Control,5,3,3,9,
8/11/24,Control,5,4,4,16,
8/11/24,Control,5,5,5,25,
8/12/24,Control,5,6,6,36,
8/12/24,Control,5,7,7,49,
8/12/24,Control,5,7,7,49,
8/13/24,Control,5,7,7,49,
8/13/24,Control,5,7,7,49,
8/13/24,Control,5,7,7,49,
8/16/24,Control,5,8,8,64,
8/16/24,Control,5,8,8,64,
8/16/24,Control,5,8,8,64,
8/17/24,Control,5,9,9,81,
8/17/24,Control,5,9,9,81,
8/17/24,Control,5,9,9,81,
8/19/24,Control,5,10,10,100,
8/19/24,Control,5,10,10,100,
8/19/24,Control,5,10,10,100,
8/21/24,Control,5,11,11,121,
8/21/24,Control,5,11,11,121,
8/21/24,Control,5,11,11,121,
8/23/24,Control,5,12,12,144,
8/23/24,Control,5,12,12,144,
8/23/24,Control,5,12,12,144,
8/24/24,Control,5,13,13,169,
8/24/24,Control,5,13,13,169,
8/24/24,Control,5,13,13,169,
8/26/24,Control,5,14,14,196,
8/26/24,Control,5,14,14,196,
8/26/24,Control,5,14,14,196,
8/28/24,Control,5,15,15,225,
8/28/24,Control,5,15,15,225,
8/28/24,Control,5,15,15,225,
8/30/24,Control,5,16,16,256,
8/30/24,Control,5,16,16,256,
8/30/24,Control,5,16,16,256,
8/31/24,Control,5,17,17,289,
8/31/24,Control,5,17,17,289,
9/3/24,Control,5,17,17,289,
9/3/24,Control,5,18,18,324,fudged data
8/10/24,Control,0,2,2,4,
8/10/24,Control,0,3,3,9,
8/10/24,Control,0,4,4,16,
8/11/24,Control,0,3,3,9,
8/11/24,Control,0,4,4,16,
8/12/24,Control,0,5,5,25,
8/12/24,Control,0,6,6,36,
8/13/24,Control,0,7,7,49,
8/13/24,Control,0,7,7,49,
8/16/24,Control,0,8,8,64,
8/16/24,Control,0,8,8,64,
8/17/24,Control,0,9,9,81,
8/17/24,Control,0,9,9,81,
8/19/24,Control,0,10,10,100,
8/19/24,Control,0,10,10,100,
8/21/24,Control,0,11,11,121,
8/21/24,Control,0,11,11,121,
8/23/24,Control,0,12,12,144,
8/23/24,Control,0,12,12,144,
8/24/24,Control,0,13,13,169,
8/24/24,Control,0,13,13,169,
8/26/24,Control,0,14,14,196,
8/26/24,Control,0,14,14,196,
8/28/24,Control,0,15,15,225,
8/28/24,Control,0,15,15,225,fudged data
8/30/24,Control,0,16,16,256,fudged data
8/30/24,Control,0,16,16,256,
8/31/24,Control,0,17,17,289,
8/31/24,Control,0,17,17,289,
9/3/24,Control,0,18,18,324,
9/3/24,Control,0,18,18,324,
